Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,project_name,target,target_std
BaggingRegressor,0.8418288394701434,0.8876755526672033,622617.8224146477,0.06693148612976074,real-state-ny,PRICE,2422413.232
LGBMRegressor,0.8399631340291703,0.8863506314120195,626279.0968149792,0.06226038932800293,real-state-ny,PRICE,2422413.232
ExtraTreesRegressor,0.8397330427918784,0.8861872332869861,626729.1480377958,0.2906613349914551,real-state-ny,PRICE,2422413.232
HistGradientBoostingRegressor,0.8258873908997444,0.8763548138273547,653240.3598679054,0.30498385429382324,real-state-ny,PRICE,2422413.232
AdaBoostRegressor,0.79116294831746,0.8516954270660223,715420.9839883975,0.21126937866210938,real-state-ny,PRICE,2422413.232
RidgeCV,0.7419922165638251,0.8167770813279337,795196.2099776623,0.02538609504699707,real-state-ny,PRICE,2422413.232
SGDRegressor,0.7284520245201299,0.8071615826302372,815795.2687212247,0.024998903274536133,real-state-ny,PRICE,2422413.232
Ridge,0.7238737965387181,0.8039103772521331,822643.5718574959,0.024285316467285156,real-state-ny,PRICE,2422413.232
Lars,0.72218493899885,0.8027110436368644,825155.4846777512,0.029651165008544922,real-state-ny,PRICE,2422413.232
LassoLars,0.7221848065232505,0.8027109495599895,825155.6814146632,0.033628225326538086,real-state-ny,PRICE,2422413.232
Lasso,0.7210693166264384,0.8019187900680504,826810.6137978033,0.028076887130737305,real-state-ny,PRICE,2422413.232
LinearRegression,0.7210690711305325,0.8019186157303781,826810.9776490896,0.026558876037597656,real-state-ny,PRICE,2422413.232
TransformedTargetRegressor,0.7210690711305325,0.8019186157303781,826810.9776490896,0.031003236770629883,real-state-ny,PRICE,2422413.232
RandomForestRegressor,0.7206398198341765,0.8016137850996325,827446.9294353307,0.3946843147277832,real-state-ny,PRICE,2422413.232
XGBRegressor,0.720458332894603,0.8014849030700805,827715.6621319795,0.09115767478942871,real-state-ny,PRICE,2422413.232
ElasticNet,0.7129520391538937,0.7961543466455188,838755.0164853326,0.02718663215637207,real-state-ny,PRICE,2422413.232
LassoLarsCV,0.7119968673436415,0.7954760362295425,840149.3649714981,0.04649472236633301,real-state-ny,PRICE,2422413.232
LarsCV,0.7119968673436415,0.7954760362295425,840149.3649714981,0.04206037521362305,real-state-ny,PRICE,2422413.232
LassoCV,0.7119045300308344,0.7954104633552302,840284.0352387199,0.1193852424621582,real-state-ny,PRICE,2422413.232
LassoLarsIC,0.7105558072414815,0.7944526747077187,842248.6390590526,0.03103780746459961,real-state-ny,PRICE,2422413.232
OrthogonalMatchingPursuitCV,0.6452824018396118,0.7480990969585649,932393.559946982,0.03416728973388672,real-state-ny,PRICE,2422413.232
PoissonRegressor,0.6281234711008219,0.7359137693324678,954678.8074217064,0.04045367240905762,real-state-ny,PRICE,2422413.232
TweedieRegressor,0.6166611017217825,0.7277738258603963,969280.2034239946,0.032686710357666016,real-state-ny,PRICE,2422413.232
OrthogonalMatchingPursuit,0.6038603123728418,0.7186834102357862,985330.8376724792,0.0292208194732666,real-state-ny,PRICE,2422413.232
HuberRegressor,0.5173345133803717,0.657237552980264,1087629.604601892,0.04961109161376953,real-state-ny,PRICE,2422413.232
RANSACRegressor,0.5169549416690977,0.6569680020548665,1088057.1805419324,0.1931767463684082,real-state-ny,PRICE,2422413.232
KNeighborsRegressor,0.4676536613768475,0.621956947934283,1142233.8685035724,0.040619611740112305,real-state-ny,PRICE,2422413.232
GammaRegressor,0.41697203333012767,0.5859656468576269,1195370.6582406894,0.027634859085083008,real-state-ny,PRICE,2422413.232
GradientBoostingRegressor,0.08589039127299336,0.3508496981503866,1496776.7713065855,0.1748216152191162,real-state-ny,PRICE,2422413.232
KernelRidge,-0.2761584754066808,0.09374253195757454,1768520.9228209467,0.03185534477233887,real-state-ny,PRICE,2422413.232
ElasticNetCV,-0.4183641892894403,-0.007244134422935922,1864454.444794075,0.11489677429199219,real-state-ny,PRICE,2422413.232
BayesianRidge,-0.4216762990079992,-0.009596212339013865,1866630.0767185558,0.025560617446899414,real-state-ny,PRICE,2422413.232
DummyRegressor,-0.4216762992587466,-0.009596212517080982,1866630.076883169,0.024702787399291992,real-state-ny,PRICE,2422413.232
